openroot	main	false	2026-09-19T13:51:05Z	Off-grid passive solar + opencell concrete thermal systems — open hardware, permaculture computation, PoPW-verified	
und-protocol	main	false	2026-09-18T01:09:33Z	Universal Native Descriptor (und) — high-density symbolic protocol for offline edge LLMs + Newton Chain thermodynamic verification. Zero-heap C + pure Python.	
openroot-spoke-template	main	false	2026-09-18T03:00:50Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
agape-ipfs	master	false	2026-09-18T03:00:50Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
wisdom-scaffold	main	false	2026-09-18T03:00:51Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
agapenet	main	false	2026-09-18T03:00:52Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
agape-coordination	main	false	2026-09-18T03:00:52Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
openroot-product	master	false	2026-09-18T03:00:53Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
openroot-ecosystem	main	false	2026-09-18T03:00:54Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
jesseray718	main	false	2026-09-12T05:21:21Z		
OpenCell-Thermal-System	main	false	2026-09-18T03:00:55Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
fractallattice	master	false	2026-09-18T03:00:56Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
oscillation-mesh	main	false	2026-09-18T03:00:57Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
agaperesonance	master	false	2026-09-18T03:00:58Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
jesseray718.github.io	main	false	2026-09-11T22:07:47Z	Personal GitHub Pages site	
aerocement	main	false	2026-09-10T04:20:23Z	Open-source lightweight foamed concrete (AR-GFRC) for single-story walls. Drill-and-bucket buildable.	
canonical	main	false	2026-09-18T03:00:58Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
aerocement-calc	main	false	2026-09-10T03:59:48Z		
une	main	false	2026-09-18T03:00:59Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
renaissance-protocol	main	false	2026-09-18T03:01:00Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
openroot-foundation	main	false	2026-09-18T03:01:01Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
openroot-thesis	main	false	2026-09-18T03:01:02Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
.github	main	false	2026-09-12T14:47:01Z	Shared GitHub Actions workflows for jesseray718 repositories	
agape-crossover-key	main	false	2026-09-18T03:01:02Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
agape-une	main	false	2026-09-18T03:01:03Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
etaledger	master	false	2026-09-02T23:25:00Z		
openroot-canon	main	false	2026-09-18T03:04:19Z	OpenRoot canonical node — the whole-goal constitution: permaculture-principled computation, Agape-aligned engineering, appropriate technology for energy sovereignty. Trunk of the OpenRoot spoke network.	
agape-primitives	master	false	2026-09-18T03:01:05Z	[SPOKE of openroot-canon] canonical: https://github.com/jesseray718/openroot-canon	
skills-introduction-to-github	main	false	2026-09-05T16:09:22Z	Exercise: Introduction to GitHub	
jesseray718-archive	main	false	2026-09-03T20:50:27Z		
kai-memory	master	false	2026-09-03T03:40:37Z		
axiom-library	main	false	2026-09-03T03:40:33Z	Canonical axioms/postulates/checkflags	
kai9000	main	false	2026-09-03T03:41:20Z		
black-locust-rmh	main	false	2026-09-01T06:52:32Z	Black Locust Rocket Mass Heater (DV.GEN.BL.RMH.001) — carbon-negative thermal cascade for OpenRoot H-003 + AE-GFRC domes	
markor	master	false	2026-09-01T06:52:47Z	Text editor - Notes & ToDo (for Android) - Markdown, todo.txt, plaintext, math, ..	
AeroCement_Ecosystem	main	false	2026-09-01T06:38:00Z	[ARCHIVED] merged into github.com/jesseray718/openroot	
Reticulum	master	false	2026-08-30T07:08:26Z	The cryptography-based networking stack for building unstoppable networks with LoRa, Packet Radio, WiFi and everything in between.	
RNode_Firmware	master	false	2026-08-30T15:55:52Z	RNode is an open, free and flexible digital radio interface with many uses	
LXMF	master	false	2026-08-30T15:55:55Z	A universal, distributed and secure messaging protocol for Reticulum	
tinyGS	main	false	2026-08-29T11:19:13Z	📡 Open Ground Station Network  🛰	
MeshCore	main	false	2026-08-29T10:20:20Z	A new lightweight, hybrid routing mesh protocol for packet radios	
firmware	develop	false	2026-08-29T11:19:24Z	The official firmware for Meshtastic, an open-source, off-grid mesh communication system.	
civilization2.0	main	true	2026-09-12T14:47:17Z	Civilization 2.0: open-source framework for resilient community infrastructure — appropriate technology, decentralized systems, permaculture design.	
open-cell-thermal-loop		true	2026-09-12T14:47:18Z	[ARCHIVED] merged into github.com/jesseray718/openroot	
open-cell-thermal-open-cell-the		true	2026-09-12T14:47:20Z	[ARCHIVED] merged into github.com/jesseray718/openroot	
aerocement-		true	2026-09-12T14:47:21Z	[ARCHIVED] merged into github.com/jesseray718/openroot	
